fp_id,s1,s2,s3,s4,s5,name
104,22,17,28,6,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/104.jpg
105,12,17,9,8,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/105.jpg
106,18,16,17,5,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/106.jpg
107,16,33,18,7,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/107.jpg
108,16,33,24,5,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/108.jpg
109,20,24,11,6,1,/home/mohammed/server/FMVLD/Impression_1/fp_1/109.jpg
110,19,27,9,5,4,/home/mohammed/server/FMVLD/Impression_1/fp_1/110.jpg
111,18,30,13,4,3,/home/mohammed/server/FMVLD/Impression_1/fp_1/111.jpg
112,24,31,9,6,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/112.jpg
113,19,27,16,3,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/113.jpg
114,20,40,17,7,4,/home/mohammed/server/FMVLD/Impression_1/fp_1/114.jpg
115,23,29,12,4,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/115.jpg
116,25,30,14,10,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/116.jpg
117,26,31,14,8,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/117.jpg
118,25,23,23,3,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/118.jpg
119,21,23,25,4,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/119.jpg
120,26,30,12,7,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/120.jpg
121,16,24,18,1,3,/home/mohammed/server/FMVLD/Impression_1/fp_1/121.jpg
122,29,24,17,5,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/122.jpg
123,22,31,17,5,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/123.jpg
124,23,28,12,7,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/124.jpg
125,18,31,13,4,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/125.jpg
126,11,31,16,12,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/126.jpg
127,14,21,7,5,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/127.jpg
128,14,27,11,9,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/128.jpg
129,24,26,14,8,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/129.jpg
130,22,29,16,9,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/130.jpg
131,24,29,13,5,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/131.jpg
132,22,20,12,9,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/132.jpg
133,24,19,10,10,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/133.jpg
134,33,24,9,4,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/134.jpg
135,25,25,21,8,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/135.jpg
136,18,32,7,9,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/136.jpg
137,27,35,13,5,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/137.jpg
138,24,15,20,4,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/138.jpg
139,25,31,17,7,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/139.jpg
140,25,31,16,4,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/140.jpg
141,13,25,14,6,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/141.jpg
142,27,25,14,7,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/142.jpg
143,32,27,19,8,16,/home/mohammed/server/FMVLD/Impression_1/fp_1/143.jpg
144,30,34,18,10,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/144.jpg
145,21,29,16,5,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/145.jpg
146,24,29,9,5,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/146.jpg
147,13,19,11,11,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/147.jpg
148,12,20,11,4,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/148.jpg
149,22,22,9,5,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/149.jpg
150,25,26,9,4,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/150.jpg
151,20,24,8,3,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/151.jpg
152,12,18,7,6,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/152.jpg
153,28,34,17,5,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/153.jpg
154,21,25,12,7,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/154.jpg
155,26,31,16,9,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/155.jpg
156,17,26,12,5,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/156.jpg
157,25,24,18,4,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/157.jpg
158,20,29,17,2,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/158.jpg
159,24,24,17,6,16,/home/mohammed/server/FMVLD/Impression_1/fp_1/159.jpg
160,21,22,12,1,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/160.jpg
161,37,31,9,4,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/161.jpg
162,30,23,13,2,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/162.jpg
163,29,18,9,6,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/163.jpg
164,30,28,12,6,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/164.jpg
165,18,23,7,9,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/165.jpg
166,21,16,13,4,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/166.jpg
167,25,32,24,6,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/167.jpg
168,21,33,17,11,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/168.jpg
169,27,32,23,9,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/169.jpg
170,22,38,11,7,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/170.jpg
171,27,31,13,3,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/171.jpg
172,17,21,21,8,21,/home/mohammed/server/FMVLD/Impression_1/fp_1/172.jpg
173,34,23,17,15,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/173.jpg
174,27,37,19,4,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/174.jpg
175,30,30,10,7,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/175.jpg
176,19,24,14,4,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/176.jpg
177,15,33,18,4,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/177.jpg
