id,atb,bta
699,40,29
700,32,31
701,35,21
702,37,26
703,37,35
704,24,24
705,32,21
706,30,35
707,40,39
708,29,31
709,33,27
710,29,26
711,28,19
712,29,32
713,32,20
714,37,39
715,28,24
716,25,30
717,28,20
718,38,31
719,41,30
720,38,32
721,30,32
722,29,32
723,24,32
724,28,30
725,37,31
726,25,35
727,24,33
728,22,21
729,32,30
730,25,28
731,28,20
732,31,32
733,31,32
734,30,31
735,33,33
736,27,20
737,24,19
738,31,32
739,33,31
740,30,24
741,43,29
742,39,33
743,32,38
744,26,23
745,34,43
746,22,27
747,36,29
748,31,21
749,33,27
750,32,23
751,37,26
752,32,25
753,31,29
754,27,32
755,37,23
756,39,45
757,26,34
758,24,24
759,35,36
760,29,32
761,20,18
762,21,20
763,21,27
764,29,20
765,38,28
766,30,16
767,23,23
768,31,32
769,31,21
770,25,22
771,34,29
772,35,24
773,40,30
774,33,33
775,37,31
776,38,35
777,38,36
778,38,32
779,40,22
780,24,20
781,32,32
782,19,23
783,26,28
784,32,36
785,20,24
786,25,20
787,24,23
788,36,39
789,32,24
790,25,11
791,23,30
792,32,22
793,24,32
794,24,33
795,30,30
796,24,30
797,34,38
798,30,27
799,23,27
800,23,38
801,30,39
802,23,35
803,20,21
804,29,26
805,31,35
806,20,26
807,30,30
808,22,30
809,26,22
810,27,21
811,25,41
812,23,27
813,37,32
814,21,28
815,26,37
816,33,25
817,22,23
818,39,27
819,27,29
820,33,31
821,33,30
822,33,26
823,30,24
824,22,26
825,26,15
826,23,27
827,18,19
828,35,22
829,21,23
830,32,27
831,28,38
832,18,28
833,26,36
834,30,24
835,26,26
836,40,28
837,28,31
838,31,36
839,33,34
840,29,32
841,30,28
842,41,25
843,20,34
844,33,25
845,26,35
846,35,27
847,20,28
848,26,27
849,29,25
850,29,26
851,27,33
852,19,29
853,27,25
854,23,26
855,26,24
856,19,30
857,32,30
858,29,27
859,19,33
860,27,23
861,27,16
862,33,23
863,39,39
864,34,24
865,31,43
866,24,23
867,32,30
868,32,33
869,30,27
870,32,18
871,40,41
872,30,27
873,26,21
874,33,29
875,35,28
876,35,38
877,30,25
878,29,32
879,28,30
880,25,26
881,38,28
882,35,35
883,29,33
884,37,47
885,46,26
886,39,31
887,36,20
888,32,32
889,34,29
890,36,27
891,32,43
892,35,36
893,34,28
894,33,33
895,40,34
896,24,28
897,30,37
898,37,23
899,21,21
900,37,41
901,32,36
902,34,28
903,26,33
904,27,24
905,30,21
906,25,24
907,28,34
908,31,23
909,24,23
910,28,32
911,30,34
912,25,29
913,36,30
914,26,38
915,20,28
916,29,35
917,23,24
918,29,24
919,19,23
920,43,30
921,21,31
922,26,28
923,21,28
924,28,35
925,28,24
926,31,26
927,27,19
928,25,31
929,33,37
930,30,24
931,24,26
932,23,36
933,38,40
934,30,26
935,33,34
936,30,21
937,23,30
938,43,42
939,18,28
940,35,40
941,28,33
942,33,39
943,37,27
944,36,30
945,38,27
946,36,35
947,31,27
948,46,40
949,21,23
950,27,34
951,37,30
952,37,14
953,22,20
954,19,32
955,34,36
956,29,32
957,24,29
958,24,33
959,23,25
960,32,42
961,44,38
962,42,28
963,28,40
964,37,28
965,36,33
966,23,22
967,36,25
968,44,30
969,20,22
970,31,25
971,31,31
972,25,31
973,23,18
974,21,21
975,28,24
976,31,27
977,24,20
978,26,30
979,26,23
980,25,27
981,24,36
982,25,27
983,21,25
984,31,17
985,23,26
986,31,27
987,31,36
988,29,16
989,29,24
990,31,29
991,26,26
992,31,32
993,46,29
994,29,29
995,38,38
996,24,22
997,33,26
998,30,32
999,27,34
1000,33,30
