id,score
688,17
689,31
690,29
691,37
692,28
693,19
694,26
695,39
696,30
697,37
698,36
699,33
700,39
701,26
702,35
703,32
704,26
705,29
706,31
707,28
708,27
709,30
710,31
711,22
712,25
713,26
714,39
715,22
716,34
717,35
718,38
719,36
720,22
721,30
722,31
723,26
724,40
725,40
726,35
727,33
728,31
729,24
730,29
731,31
732,37
733,23
734,22
735,21
736,20
737,38
738,41
739,32
740,35
741,33
742,34
743,34
744,29
745,29
746,33
747,34
748,46
749,29
750,30
751,34
752,36
753,28
754,24
755,26
756,21
757,25
758,19
759,47
760,26
761,18
762,31
763,30
764,40
765,25
766,32
767,28
768,29
769,28
770,26
771,22
772,33
773,30
774,27
775,36
776,23
777,30
778,20
779,26
780,27
781,26
782,24
783,25
784,32
785,31
786,28
787,27
788,42
789,33
790,35
791,31
792,34
793,22
794,21
795,27
796,29
797,18
798,24
799,28
800,30
801,30
802,29
803,23
804,23
805,20
806,35
807,28
808,40
809,28
810,31
811,23
812,23
813,31
814,23
815,29
816,20
817,27
818,36
819,35
820,27
821,31
822,33
823,24
824,22
825,18
826,26
827,22
828,22
829,35
830,24
831,29
832,27
833,25
834,35
835,27
836,46
837,26
838,35
839,35
840,28
841,26
842,19
843,36
844,35
845,26
846,28
847,18
848,30
849,28
850,23
851,29
852,30
853,32
854,25
855,26
856,34
857,21
858,25
859,20
860,27
861,34
862,35
863,24
864,31
865,30
866,38
867,23
868,33
869,31
870,26
871,36
872,24
873,25
874,31
875,34
876,26
877,35
878,29
879,32
880,23
881,27
882,33
883,36
884,32
885,38
886,43
887,39
888,27
889,29
890,33
891,30
892,27
893,28
894,37
895,43
896,33
897,21
898,33
899,23
900,20
901,24
902,30
903,24
904,22
905,22
906,22
907,22
908,26
909,24
910,26
911,31
912,33
913,25
914,28
915,30
916,34
917,41
918,30
919,33
920,25
921,28
922,23
923,32
924,30
925,35
926,23
927,26
928,28
929,35
930,39
931,29
932,23
933,27
934,23
935,20
936,24
937,33
938,45
939,27
940,43
941,26
942,33
943,40
944,25
945,27
946,26
947,46
948,52
949,33
950,31
951,36
952,28
953,24
954,27
955,20
956,34
957,25
958,19
959,24
960,31
961,36
962,31
963,32
964,40
965,45
966,32
967,27
968,38
969,28
970,28
971,30
972,30
973,23
974,30
975,35
976,29
977,38
978,22
979,21
980,19
981,33
982,24
983,28
984,31
985,30
986,34
987,26
988,46
989,33
990,35
991,25
992,40
993,37
994,31
995,32
996,22
997,41
998,33
999,35
1000,45
